date,tc,rh,ws,wd,p,o3,no,no2,nox,co,pm10,pm25,aqs,year
2012,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2013,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2014,31.152968036529682,27.009132420091326,28.63013698630137,28.607305936073057,26.609589041095887,29.703196347031962,29.977168949771688,29.977168949771688,29.977168949771688,30.034246575342465,100.0,66.65525114155251,0.0,0.0
2015,19.965753424657535,19.817351598173516,1.3242009132420092,1.3242009132420092,1.404109589041096,5.787671232876712,7.751141552511416,7.751141552511416,7.751141552511416,6.415525114155251,100.0,11.963470319634704,0.0,0.0
2016,0.35291438979963574,0.35291438979963574,0.31876138433515483,0.31876138433515483,0.35291438979963574,5.305100182149363,8.242258652094717,8.242258652094717,8.242258652094717,8.139799635701275,100.0,0.6489071038251366,0.0,0.0
2017,15.057077625570775,9.885844748858448,1.038812785388128,1.038812785388128,1.1187214611872145,5.4908675799086755,7.671232876712329,7.671232876712329,7.671232876712329,5.513698630136987,100.0,5.239726027397261,0.0,0.0
2018,77.4771689497717,75.23972602739725,5.2853881278538815,5.2853881278538815,5.365296803652968,9.5662100456621,10.079908675799087,10.079908675799087,10.079908675799087,10.17123287671233,100.0,11.095890410958905,0.0,0.0
2019,100.0,100.0,8.047026595137542,8.047026595137542,8.172583038465929,13.03504166191074,19.061750941673324,19.061750941673324,19.061750941673324,15.0553589772857,100.0,9.199863029334551,0.0,0.0
2020,100.0,100.0,0.06830601092896176,0.06830601092896176,11.30464480874317,7.604735883424409,21.14071038251366,21.14071038251366,21.14071038251366,9.153005464480875,100.0,2.4362477231329693,0.0,0.0
2021,100.0,100.0,0.0228310502283105,0.0228310502283105,0.03424657534246575,4.429223744292238,5.67351598173516,5.67351598173516,5.67351598173516,17.0662100456621,100.0,0.5251141552511416,0.0,0.0
2022,100.0,100.0,0.31963470319634707,0.31963470319634707,0.3881278538812785,3.6301369863013697,9.897260273972602,9.897260273972602,9.897260273972602,4.429223744292238,100.0,0.6621004566210046,0.0,0.0
2023,34.554794520547944,34.554794520547944,2.6027397260273974,2.6027397260273974,2.6598173515981736,3.65296803652968,12.26027397260274,12.26027397260274,12.26027397260274,3.276255707762557,100.0,3.3904109589041096,0.0,0.0
2024,6.65255918529295,6.65255918529295,6.414495437111493,6.414495437111493,6.65255918529295,9.284486179076842,16.545430498611292,16.545430498611292,16.545430498611292,8.649649517259622,100.0,8.715778336198914,0.0,0.0
